example_id,customer_message,reply,correctness,groundedness,relevance,safety,overall
gold_178,"@AppleSupport It’s the same using cellular &amp; WiFi (tried 3 different WiFi networks) when I try downloading an app, it says double tap on the right. I do. Nothing happens. When updating, the app just never loads. I’ve been “updating” since yesterday.","@481363 Got it, thanks for letting us know. Go ahead and test the update once again, this time when the prompt shows double tap the Side button on your iPhone. If needed this article will assist with the location: https://t.co/AB7b8bMqSW Let us know the results.",3,1,3,1,1
gold_057,@AppleSupport Yes. Although I don’t see the profiles section in settings anymore. But the build on my 7 is the one in my last tweet.,@225301 OK. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,5,5,4,4,3
gold_153,"@AppleSupport Using iphone 7 since 10 months now, its been 1 week since the use of iOS 11.0.3. All apps take so slow load to load. Gets dead all the time.",@638629 We'd like to gather more info. Let's meet in DM. https://t.co/GDrqU22YpT,5,1,4,1,1
gold_083,@AppleSupport Sending status bar sits at about 80% for a couple of minutes and then the red “not sent” appears. In some cases the message in fact did send,@331993 Please check out the steps in this support article for issues sending messages: https://t.co/2hgNQH8Vvq,1,5,5,1,1
gold_069,"@AppleSupport I have my iPad Mini 2 (iOS 11), and a 2015 MacBook (High Sierra). Those all seem to sync fine. Only the Mac Mini does not.","@192651 Thanks for reaching out about your Mac mini. Please DM us, and we'll proceed from there. https://t.co/GDrqU22YpT",5,4,4,4,3
gold_125,@AppleSupport Thanks guys!,"@171689 Any time! Let us know if you need anything else, we love to help! We hope you have a great day!",5,4,4,4,3
gold_017,@AppleSupport Major drawback Battery drain... as well as brightness tab increases itself. Rotation orientation...Many other smaller issues,"@359546 Let's work on a solution together. To continue, please DM us with the country where you're located. https://t.co/GDrqU22YpT",5,4,4,4,3
gold_149,@AppleSupport Ohhhh ok. Thank you!,@299271 No problem! Have a great day.,5,4,4,4,3
gold_094,"@AppleSupport When you go to the App Store &amp; pick randomly any app like the image below, the video plays 6 sec &amp; keeps reloop, supposes to play whole 🎞 https://t.co/ANstYDI7o3","@158108 We appreciate you letting us know, does this happen while using just Wi-Fi or cellular data?",5,4,4,1,1
gold_066,@AppleSupport yes siri is on!,"@740934 Let's disable Siri. Then power off the device using these steps: https://t.co/OWRDHWSt4h 

Once powered back on, let's enable Siri, and see if the issue persists.",5,4,4,4,3
gold_061,"@AppleSupport Huh, what’s it doing over there? Thanks!",@532328 You're very welcome!,5,4,4,4,3
gold_085,@AppleSupport I already know what you'll tell me: turn off background refresh &amp; dim the screen. The problem isn't my settings; iOS has a battery problem.,"@347834 To look further into this battery life issue, please send us over a DM to continue. https://t.co/GDrqU22YpT",5,4,4,1,1
gold_068,@AppleSupport @581741 I’m having the same issue. Thought it was just me.,@581741 We'd like to help you out with the issue you're experiencing. Send us a DM with what type of iPhone you're using to get started. https://t.co/GDrqU22YpT,5,5,4,4,1
gold_126,"@AppleSupport My IPhone x is working fine now, Thanks for nothing",@726046 We can help! We absolutely want you to be able to fully enjoy your brand new iPhone X. Let's have you start with the steps in the following article and keep us posted on how that goes: https://t.co/8MvHMFZ83h,5,5,5,5,3
gold_133,@AppleSupport Can y’all also like fix the battery issue too? Cause after I️ updated my phone like died in five seconds..... and my phones new,@503047 Let's have a look at this together. Can you please DM us? https://t.co/GDrqU22YpT,5,5,4,1,1
