example_id,conversation_id,customer_message,context,historical_agent_reply,intent,escalation,notes,suggested_intent,escalation_reason
gold_044,apple_conv_014070,@AppleSupport I called apple tech support they did a diagnostic and told me nothing was wrong. My phone is 6 days old. No problems until i downloaded os11,,@504026 We want your battery to last longer than that! Join us in DM so that we can work together towards a resolution. https://t.co/GDrqU22YpT,battery_charging_issue,escalate,Manually labeled as app_store_app_issue,battery_charging_issue,Rule-based escalation suggestion; human review recommended.
gold_056,apple_conv_012779,@AppleSupport it’s still doing it smh,AGENT: @519342 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,@519342 Send us a DM and we will continue from there. https://t.co/GDrqU22YpT,ios_software_issue,escalate,Manually labeled as account_login_verification,ios_software_issue,Rule-based escalation suggestion; human review recommended.
gold_057,apple_conv_003342,@AppleSupport Yes. Although I don’t see the profiles section in settings anymore. But the build on my 7 is the one in my last tweet.,"AGENT: @225301 We are happy to help you get your new iPhone set up. To clarify, are you using the iOS beta profile on your iPhone 7?",@225301 OK. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,ios_software_issue,escalate,Manually labeled as account_login_verification,ios_software_issue,Rule-based escalation suggestion; human review recommended.
gold_067,apple_conv_013979,"@AppleSupport To save a pdf in safari now have to go into menu, save to pdf then go into menu again to save. Before tap top of pdf and choose save. Stupid",,@555426 We'd like to hear more about what you're running into with Safari. Please send us a DM and we'll take a look. https://t.co/GDrqU22YpT,app_store_app_issue,escalate,Manually labeled as app_store_app_issue,app_store_app_issue,Rule-based escalation suggestion; human review recommended.
gold_068,apple_conv_014791,@AppleSupport @581741 I’m having the same issue. Thought it was just me.,,@581741 We'd like to help you out with the issue you're experiencing. Send us a DM with what type of iPhone you're using to get started. https://t.co/GDrqU22YpT,other_unclear,escalate,Manually labeled as ios_software_issue,other_unclear,Rule-based escalation suggestion; human review recommended.
gold_071,apple_conv_013955,@AppleSupport No success. Battery indicator doesn't work and computer still doesn't power on.,,"@554289 Thanks for the update. As the issue continues, we'd like to check your options. DM us with your country and we'll continue. https://t.co/GDrqU22YpT",battery_charging_issue,escalate,Manually labeled as ios_software_issue,battery_charging_issue,Rule-based escalation suggestion; human review recommended.
gold_078,apple_conv_014192,@AppleSupport 11.1 (15B5086a),"AGENT: @221835 Just to verify, what's the exact iOS version on your iPhone? You can check by navigating to Settings &gt; General &gt; About.",@221835 Send us a DM with the country that you are located in and we will continue from there. https://t.co/GDrqU22YpT,ios_software_issue,escalate,Manually labeled as app_store_app_issue,ios_software_issue,Rule-based escalation suggestion; human review recommended.
gold_091,apple_conv_017783,"@AppleSupport When I try to send a message with pictures or video to a group i get an error message that says ""you must activate iMessage to send this""",AGENT: @492420 We'd be happy to look into your messaging issues. Can you tell us what's happening?,@492420 Thanks for following up. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT,messaging_calling_issue,escalate,,messaging_calling_issue,Rule-based escalation suggestion; human review recommended.
gold_095,apple_conv_009772,@AppleSupport iOS 11.3,"AGENT: @444434 Let us know via DM which version of the iOS is installed currently, then we can work with you on this from there! https://t.co/GDrqU22YpT","@444434 Thanks. Send us a DM, and we'll help out from there. https://t.co/GDrqU22YpT",ios_software_issue,escalate,,ios_software_issue,Rule-based escalation suggestion; human review recommended.
gold_099,apple_conv_007025,@AppleSupport The strange thing is it used to work with iOS 11 public beta. I guess there is no firmware update but will check. What to do if not?,"CUSTOMER: @AppleSupport Have tried all described options. An iPhone 6S Plus is working fine with iOS 11.0.3. iPhone 7 Plus isn’t. Any other solutions?
AGENT: @356596 Let's take a closer look. Send us a DM using the link below. https://t.co/GDrqU22YpT
AGENT: @356596 Your car stereo may need a firmware update. You'll find more steps to take here: https://t.co/tqjOBvBgl0",@356596 Sounds like a plan. There are also a few additional steps in the article we shared.,ios_software_issue,escalate,,ios_software_issue,Rule-based escalation suggestion; human review recommended.
gold_106,apple_conv_019190,"@AppleSupport No from back up so that i can still have my apps &amp; data from icloud!
If i set it up as new it won't download any","AGENT: @713088 Thanks for reaching out and providing detailed information.  We want to help.  We have some questions to better assist you.  When you set up your iPad Air 2, did you set it up as new or from a backup?",@713088 Alright. Go ahead and send us a DM so we can look into this with you. https://t.co/GDrqU22YpT,icloud_backup_restore,escalate,,icloud_backup_restore,Rule-based escalation suggestion; human review recommended.
gold_112,apple_conv_010816,@AppleSupport The issue still there even after restarting,AGENT: @302862 That certainly is odd. If you restart the device does the issue persist?,@302862 Please send us a DM and we will go from there. https://t.co/GDrqU22YpT,other_unclear,escalate,,other_unclear,Rule-based escalation suggestion; human review recommended.
gold_117,apple_conv_013652,"@AppleSupport okay, i dmed you",,@538208 You've come to the right place. Send us a DM with more details of what's going on and we'll continue there. https://t.co/GDrqU22YpT,other_unclear,escalate,,other_unclear,Rule-based escalation suggestion; human review recommended.
gold_121,apple_conv_014772,"@AppleSupport Yes, I updated all of them and still have this issue","AGENT: @586383 We'd be glad to check into this with you and see how we can help. Just to confirm, are all apps updated?",@586383 Got it! Send us a DM with the country that you are located in and we will continue from there. https://t.co/GDrqU22YpT,app_store_app_issue,escalate,,app_store_app_issue,Rule-based escalation suggestion; human review recommended.
gold_128,apple_conv_013283,@AppleSupport Everytime my keyboard types the letter “i” it auto corrects to I️.... ever since the update. Please fix it,AGENT: @530592 We're here to help. Tell us what issue you're having. We can work on it together.,"@530592 Thanks for reaching out. If you're on iOS 11.1, try this: https://t.co/xU1AGHStV6 Questions? Feel free to send us a DM. https://t.co/GDrqU22YpT",ios_software_issue,escalate,,device_hardware_issue,Rule-based escalation suggestion; human review recommended.
gold_130,apple_conv_021909,"@AppleSupport I already have a case number 100344984209 opened previously for this, an auto call came and when I opted a reschedule option it did not allow me to do so... It's literally taking toll on my conversations.","AGENT: @124483 Thanks for reaching out. We want to be sure your callers can hear you. Let us know if this helps: https://t.co/rDJwu6CX24
CUSTOMER: @AppleSupport Tried all this still facing issues with the Bottom mic ... No luck... Even I can hear crackling sound from my front microphone for other people calls.
AGENT: @124483 Thanks for letting us know. Go ahead and send us a DM and we'll look into this further with you. https://t.co/GDrqU22YpT",@124483 Thank you. We certainly understand. We want to do all we can to help. Send us a DM and we'll look into this further with you. https://t.co/GDrqU22YpT,messaging_calling_issue,escalate,,messaging_calling_issue,Rule-based escalation suggestion; human review recommended.
gold_142,apple_conv_011797,"@AppleSupport 11.0.3
Thanks for feedback
But ios 11 still doesn’t work well...
(Apple tv,wifi,music and other shortcuts...and so much Frozen)",AGENT: @501175 Thanks for reaching out. We'd like to help! What's your exact iOS version? You can check in Settings &gt; General &gt; About.,@501175 We'd be happy to take a closer look into this with you. Send us a DM and we can start there. https://t.co/GDrqU22YpT,ios_software_issue,escalate,,wifi_network_issue,Rule-based escalation suggestion; human review recommended.
gold_145,apple_conv_022127,"@AppleSupport It’s not on, it’s not giving me notifications for any app except from text messages and the calendar","AGENT: @671036 We'll be happy to help with that. To start, can you tell us if this is happening only with notifications sent from one specific application or from them all? Also, is Do Not Disturb enabled on your iPhone? https://t.co/8HnF4Ksats",@671036 Got it. Go ahead and send us a DM and we'll continue with this there. https://t.co/GDrqU22YpT,messaging_calling_issue,escalate,,messaging_calling_issue,Rule-based escalation suggestion; human review recommended.
gold_151,apple_conv_020971,"@AppleSupport I turned off cell data for photos over a month ago when I first started geting notofacations for AT&amp;T about using 75% of my data, this is holy unusual for my as I don’t use more than 3GB on a big month. I also turned off WiFi assist. My phone is up to date 11.1.2 and carrier.","AGENT: @658446 We understand the importance of being able to manage cellular data, and we're happy to help investigate. How long ago was cellular data disabled for Photos? Have you recently backed up, and checked for carrier settings updates? https://t.co/bfoi2mhtX3","@658446 Thanks for clarifying. Let's continue in DM where we can gather some additional information, and plan the best path forward. https://t.co/GDrqU22YpT",other_unclear,escalate,,wifi_network_issue,Rule-based escalation suggestion; human review recommended.
gold_161,apple_conv_003135,"@AppleSupport The one I am noticing is Messages; however, it seems like there have been a couple times when it didn’t ring when I was getting a phone call",AGENT: @218645 You're in the right spot. Are all notifications experiencing issues or just certain ones?,@218645 Thank you for letting us know! Please send us a DM to discuss this further. https://t.co/GDrqU22YpT,messaging_calling_issue,escalate,,messaging_calling_issue,Rule-based escalation suggestion; human review recommended.
gold_179,apple_conv_020531,@AppleSupport 11.1.1 but 11.1.2 doesn't seems to correct it,AGENT: @757160 Got it. Which version of iOS are you using? Find that in Settings &gt; General &gt; About and reply in DM. https://t.co/GDrqU22YpT,@757160 Got it. Send us a DM so we can look further into this. https://t.co/GDrqU22YpT,ios_software_issue,escalate,,ios_software_issue,Rule-based escalation suggestion; human review recommended.
gold_186,apple_conv_005926,"@AppleSupport @321734 Had problem with massive keyboard lag in iOS 11, have no idea if it’s related to the french keyboard.",AGENT: @321734 Send us over a DM with more details of the issue you're experiencing.  We'll go from there. https://t.co/GDrqU22YpT,@321735 Thanks for reaching out to us. Please send us a DM and we can chat with you there. https://t.co/GDrqU22YpT,ios_software_issue,escalate,,device_hardware_issue,Rule-based escalation suggestion; human review recommended.
gold_188,apple_conv_001076,@AppleSupport @157899 Y’all fucked my phone up with the last update😩 I have the 7 and this bitch freezes about 3-5 times a day for about 3-8minutes at a time. Me and Troy demand resolutions and we demand them now!,AGENT: @157899 Sounds like you are having trouble with your device. We can help. Send us a DM and we'll get started. https://t.co/GDrqU22YpT,@157900 We'd like to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,ios_software_issue,escalate,,ios_software_issue,Rule-based escalation suggestion; human review recommended.
gold_190,apple_conv_010459,@AppleSupport @463835 I have same question,,@463836 Hey there. You can send us a DM is as well so we can look into it with you. https://t.co/GDrqU22YpT,other_unclear,escalate,,other_unclear,Rule-based escalation suggestion; human review recommended.
